model_id,model_name,model_type,model_description,ARO_accession,ARO_id,ARO_name,CARD_short_name,ARO_description,ARO_category
2050,OXA-331,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3001519,37919,OXA-331,OXA-331,"OXA-331 is a beta-lactamase. Name originally from the historical Lahey list of beta-lactamases, some of which did not include sequence data.","{'46495': {'category_aro_accession': '3007706', 'category_aro_cvterm_id': '46495', 'category_aro_name': 'OXA-213-like beta-lactamase', 'category_aro_description': 'OXA-213-like enzymes have been identified to be intrinsic to A. calcoaceticus and have been subsequently detected in A. pittii. Phylogenetic analysis of OXA-213-like proteins identified two distinct subgroups within the OXA family. The first group was linked to A. pittii and the second group to A. calcoaceticus. The carbapenemase activity of these OXAs may be related to the species-dependent effect.', 'category_aro_class_name': 'AMR Gene Family'}, '35939': {'category_aro_accession': '0000020', 'category_aro_cvterm_id': '35939', 'category_aro_name': 'carbapenem', 'category_aro_description': 'Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2051,dfrA15,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3003013,39447,dfrA15,dfrA15,dfrA15 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.,"{'37617': {'category_aro_accession': '3001218', 'category_aro_cvterm_id': '37617', 'category_aro_name': 'trimethoprim resistant dihydrofolate reductase dfr', 'category_aro_description': 'Alternative dihydropteroate synthase dfr present on plasmids produces alternate proteins that are less sensitive to trimethoprim from inhibiting its role in folate synthesis, thus conferring trimethoprim resistance.', 'category_aro_class_name': 'AMR Gene Family'}, '36310': {'category_aro_accession': '3000171', 'category_aro_cvterm_id': '36310', 'category_aro_name': 'diaminopyrimidine antibiotic', 'category_aro_description': 'Diaminopyrimidines are a class of organic compounds containing a pyrimidine ring substituted by two amine groups.  They are inhibitors of dihydrofolate reductase, an enzyme critical for DNA synthesis.', 'category_aro_class_name': 'Drug Class'}, '35998': {'category_aro_accession': '0001002', 'category_aro_cvterm_id': '35998', 'category_aro_name': 'antibiotic target replacement', 'category_aro_description': 'Replacement or substitution of antibiotic action target, which process will result in antibiotic resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2052,APH(3'')-Ic,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002640,39040,APH(3'')-Ic,APH(3'')-Ic,APH(3'')-Ic is a chromosomal-encoded aminoglycoside phosphotransferase in Mycolicibacterium fortuitum.,"{'36266': {'category_aro_accession': '3000127', 'category_aro_cvterm_id': '36266', 'category_aro_name': ""APH(3'')"", 'category_aro_description': ""A category of aminoglycoside O-phosphotransferase enzymes with modification regiospecificity based at the 3''-hydroxyl group of the respective antibiotic. These enzymes are characterized by enzymatic antibiotic inactivation, specifically of streptomycin, by the ATP-dependent phosphorylation of the 3''-hydroxyl group of the compound."", 'category_aro_class_name': 'AMR Gene Family'}, '35935': {'category_aro_accession': '0000016', 'category_aro_cvterm_id': '35935', 'category_aro_name': 'aminoglycoside antibiotic', 'category_aro_description': 'Aminoglycosides are a group of antibiotics that are mostly effective against Gram-negative bacteria. These molecules consist of aminated sugars attached to a dibasic cyclitol. Aminoglycosides work by binding to the bacterial 30S ribosomal subunit (some work by binding to the 50S subunit), inhibiting the translocation of the peptidyl-tRNA from the A-site to the P-site and also causing misreading of mRNA, leaving the bacterium unable to synthesize proteins vital to its growth.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2053,dfrA7,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002862,39296,dfrA7,dfrA7,dfrA7 is an integron-encoded dihydrofolate reductase found in Escherichia coli.,"{'37617': {'category_aro_accession': '3001218', 'category_aro_cvterm_id': '37617', 'category_aro_name': 'trimethoprim resistant dihydrofolate reductase dfr', 'category_aro_description': 'Alternative dihydropteroate synthase dfr present on plasmids produces alternate proteins that are less sensitive to trimethoprim from inhibiting its role in folate synthesis, thus conferring trimethoprim resistance.', 'category_aro_class_name': 'AMR Gene Family'}, '36310': {'category_aro_accession': '3000171', 'category_aro_cvterm_id': '36310', 'category_aro_name': 'diaminopyrimidine antibiotic', 'category_aro_description': 'Diaminopyrimidines are a class of organic compounds containing a pyrimidine ring substituted by two amine groups.  They are inhibitors of dihydrofolate reductase, an enzyme critical for DNA synthesis.', 'category_aro_class_name': 'Drug Class'}, '35998': {'category_aro_accession': '0001002', 'category_aro_cvterm_id': '35998', 'category_aro_name': 'antibiotic target replacement', 'category_aro_description': 'Replacement or substitution of antibiotic action target, which process will result in antibiotic resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2054,msrC,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002819,39253,msrC,msrC,msrC is a chromosomal-encoded ABC-F subfamily protein expressed in Enterococcus faecium that confers resistance to erythromycin and other macrolide and streptogramin B antibiotics.,"{'41695': {'category_aro_accession': '3004471', 'category_aro_cvterm_id': '41695', 'category_aro_name': 'msr-type ABC-F protein', 'category_aro_description': 'msr-type ABC-F subfamily ribosomal protection proteins expression in Staphylococci species and confer resistance to erythromycin and streptogramin B antibiotics through antibiotic target protection mechanisms.', 'category_aro_class_name': 'AMR Gene Family'}, '35919': {'category_aro_accession': '0000000', 'category_aro_cvterm_id': '35919', 'category_aro_name': 'macrolide antibiotic', 'category_aro_description': 'Macrolides are a group of drugs (typically antibiotics) that have a large macrocyclic lactone ring of 12-16 carbons to which one or more deoxy sugars, usually cladinose and desosamine, may be attached. Macrolides bind to the 50S-subunit of bacterial ribosomes, inhibiting the synthesis of vital proteins.', 'category_aro_class_name': 'Drug Class'}, '35945': {'category_aro_accession': '0000026', 'category_aro_cvterm_id': '35945', 'category_aro_name': 'streptogramin antibiotic', 'category_aro_description': 'Streptogramin antibiotics are natural products produced by various members of the Streptomyces genus. These antibiotics bind to the P site of the 50S subunit of bacterial ribosomes to inhibit protein synthesis. The family consists of two subgroups, type A and type B, which are simultaneously produced by the same bacterial species in a ratio of roughly 70:30.', 'category_aro_class_name': 'Drug Class'}, '35999': {'category_aro_accession': '0001003', 'category_aro_cvterm_id': '35999', 'category_aro_name': 'antibiotic target protection', 'category_aro_description': 'Protection of antibiotic action target from antibiotic binding, which process will result in antibiotic resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2055,LRA-3,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002510,38910,LRA-3,LRA-3,LRA-3 is a beta-lactamase isolated from soil samples in Alaska.,"{'41390': {'category_aro_accession': '3004226', 'category_aro_cvterm_id': '41390', 'category_aro_name': 'subclass B3 LRA beta-lactamase', 'category_aro_description': 'Beta-lactamases that are part of the LRA gene family and are classified as B3 (metallo-) beta-lactamases.', 'category_aro_class_name': 'AMR Gene Family'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2056,mdtO,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3003549,40151,mdtO,mdtO,"Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride.","{'36003': {'category_aro_accession': '0010002', 'category_aro_cvterm_id': '36003', 'category_aro_name': 'major facilitator superfamily (MFS) antibiotic efflux pump', 'category_aro_description': 'Directed pumping of antibiotic out of a cell to confer resistance. Major facilitator superfamily (MFS) transporters and ABC transporters comprise the two largest and most functionally diverse of the transporter superfamilies. However, MFS transporters are distinct from ABC transporters in both their primary sequence and structure and in the mechanism of energy coupling. As secondary transporters they are, like RND and SMR transporters, energized by the electrochemical proton gradient.', 'category_aro_class_name': 'AMR Gene Family'}, '36174': {'category_aro_accession': '3000034', 'category_aro_cvterm_id': '36174', 'category_aro_name': 'nucleoside antibiotic', 'category_aro_description': 'Nucleoside antibiotics are made of modified nucleosides and nucleotides with wide-ranging activities and means of antibacterial effects. This drug class includes aminonucleoside antibiotics, which contain an amino group.', 'category_aro_class_name': 'Drug Class'}, '43746': {'category_aro_accession': '3005386', 'category_aro_cvterm_id': '43746', 'category_aro_name': 'disinfecting agents and antiseptics', 'category_aro_description': 'Disinfectants that can also interact with antimicrobial resistance mechanisms, e.g. molecule efflux, and thus are the targets of disinfectant resistance.', 'category_aro_class_name': 'Drug Class'}, '36001': {'category_aro_accession': '0010000', 'category_aro_cvterm_id': '36001', 'category_aro_name': 'antibiotic efflux', 'category_aro_description': 'Antibiotic resistance via the transport of antibiotics out of the cell.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2057,SHV-179,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3001362,37762,SHV-179,SHV-179,"SHV-179 is a beta-lactamase. Name originally from the historical Lahey list of beta-lactamases, some of which did not include sequence data.","{'36024': {'category_aro_accession': '3000015', 'category_aro_cvterm_id': '36024', 'category_aro_name': 'SHV beta-lactamase', 'category_aro_description': 'SHV-1 shares 68 percent of its amino acids with TEM-1 and has a similar overall structure. The SHV-1 beta-lactamase is most commonly found in K. pneumoniae and is responsible for up to 20% of the plasmid-mediated ampicillin resistance in this species. ESBLs in this family also have amino acid changes around the active site, most commonly at positions 238 or 238 and 240. More than 60 SHV varieties are known.', 'category_aro_class_name': 'AMR Gene Family'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2058,pp-flo,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002812,39246,pp-flo,pp-flo,pp-flo is a plasmid chloramphenicol exporter that is found in Photobacterium damselae subsp. piscicida.,"{'36003': {'category_aro_accession': '0010002', 'category_aro_cvterm_id': '36003', 'category_aro_name': 'major facilitator superfamily (MFS) antibiotic efflux pump', 'category_aro_description': 'Directed pumping of antibiotic out of a cell to confer resistance. Major facilitator superfamily (MFS) transporters and ABC transporters comprise the two largest and most functionally diverse of the transporter superfamilies. However, MFS transporters are distinct from ABC transporters in both their primary sequence and structure and in the mechanism of energy coupling. As secondary transporters they are, like RND and SMR transporters, energized by the electrochemical proton gradient.', 'category_aro_class_name': 'AMR Gene Family'}, '36526': {'category_aro_accession': '3000387', 'category_aro_cvterm_id': '36526', 'category_aro_name': 'phenicol antibiotic', 'category_aro_description': 'Phenicols are broad spectrum bacteriostatic antibiotics acting on bacterial protein synthesis. More specifically, the phenicols block peptide elongation by binding to the peptidyltansferase centre of the 70S ribosome.', 'category_aro_class_name': 'Drug Class'}, '36001': {'category_aro_accession': '0010000', 'category_aro_cvterm_id': '36001', 'category_aro_name': 'antibiotic efflux', 'category_aro_description': 'Antibiotic resistance via the transport of antibiotics out of the cell.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2059,OKP-A-1,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002418,38818,OKP-A-1,OKP-A-1,OKP-A-1 is a beta-lactamase found in Klebsiella pneumoniae.,"{'38817': {'category_aro_accession': '3002417', 'category_aro_cvterm_id': '38817', 'category_aro_name': 'OKP beta-lactamase', 'category_aro_description': 'OKP beta-lactamases are chromosomal class A beta-lactamase that confer resistance to penicillins and early cephalosporins in Klebsiella pneumoniae. OKP beta-lactamases can be subdivided into two groups: OKP-A and OKP-B which diverge by about 4.2%.', 'category_aro_class_name': 'AMR Gene Family'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2060,FosC2,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002874,39308,FosC2,FosC2,FosC2 is an enzyme that phosphorylates fosfomycin to confer resistance in Escherichia coli.,"{'41409': {'category_aro_accession': '3004245', 'category_aro_cvterm_id': '41409', 'category_aro_name': 'fosC phosphotransferase family', 'category_aro_description': 'The fosC family of phosphotransferases phosphorylate fosfomycin to confer resistance and have been found in various bacterial isolates.', 'category_aro_class_name': 'AMR Gene Family'}, '45731': {'category_aro_accession': '3007149', 'category_aro_cvterm_id': '45731', 'category_aro_name': 'phosphonic acid antibiotic', 'category_aro_description': 'A group of antibiotics derived from phosphonic acids.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2061,VIM-7,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3002277,38677,VIM-7,VIM-7,VIM-7 is a beta-lactamase found in Pseudomonas aeruginosa.,"{'36030': {'category_aro_accession': '3000021', 'category_aro_cvterm_id': '36030', 'category_aro_name': 'VIM beta-lactamase', 'category_aro_description': 'The Verone integron-encoded metallo-beta-lactamase (VIM) family was reported from Italy in 1999. There are, to date, 23 reported variants.  VIM enzymes mostly occur in P. aeruginosa, also P. putida and, very rarely, Enterobacteriaceae. Integron-associated, sometimes within plasmids. Hydrolyses all beta-lactams except monobactams, and evades all beta-lactam inhibitors.  There is a strong incidence of these in East Asia.', 'category_aro_class_name': 'AMR Gene Family'}, '35939': {'category_aro_accession': '0000020', 'category_aro_cvterm_id': '35939', 'category_aro_name': 'carbapenem', 'category_aro_description': 'Carbapenems are a class of beta-lactam antibiotics with a broad spectrum of antibacterial activity, and have a structure which renders them highly resistant to beta-lactamases. Carbapenem antibiotics are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '35951': {'category_aro_accession': '0000032', 'category_aro_cvterm_id': '35951', 'category_aro_name': 'cephalosporin', 'category_aro_description': 'Cephalosporins are a class of beta-lactam antibiotics, containing the beta-lactam ring fused with a dihydrothiazolidine ring. Together with cephamycins they belong to a sub-group called cephems. Cephalosporin are bactericidal, and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. The peptidoglycan layer is important for cell wall structural integrity, especially in Gram-positive organisms.', 'category_aro_class_name': 'Drug Class'}, '36017': {'category_aro_accession': '3000008', 'category_aro_cvterm_id': '36017', 'category_aro_name': 'penicillin beta-lactam', 'category_aro_description': 'Penicilins (Penams) are a group of antibiotics derived from Penicillium fungi that share a skeleton beta-lactam moiety fused with a thiazolidine ring. Penicillin-like antibiotics are historically significant because they are the first drugs that were effective against many previously serious diseases such as syphilis and Staphylococcus infections. Penicillins are still widely used today, though many types of bacteria are now resistant. All penicillins are beta-lactam antibiotics in the penam sub-group, and are used in the treatment of bacterial infections caused by susceptible, usually Gram-positive, organisms.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
2062,mphC,protein homolog model,"Protein Homolog Models (PHM) detect protein sequences based on their similarity to a curated reference sequence, using curated BLASTP bitscore cut-offs. Protein Homolog Models apply to all genes that confer resistance through their presence in an organism, such as the presence of a beta-lactamase gene on a plasmid. PHMs include a reference sequence and a bitscore cut-off for detection using BLASTP. A Perfect RGI match is 100% identical to the reference protein sequence along its entire length, a Strict RGI match is not identical but the bit-score of the matched sequence is greater than the curated BLASTP bit-score cutoff, Loose RGI matches have a bit-score less than the curated BLASTP bit-score cut-off.",3000319,36458,mphC,mphC,The mphC gene was identified from Staphylococcus aureus.  This gene shows similarity to mphB gene from Escherchia coli.,"{'36472': {'category_aro_accession': '3000333', 'category_aro_cvterm_id': '36472', 'category_aro_name': 'macrolide phosphotransferase (MPH)', 'category_aro_description': ""Macrolide phosphotransferases (MPH) are enzymes encoded by macrolide phosphotransferase genes (mph genes). These enzymes phosphorylate macrolides in GTP dependent manner at 2'-OH of desosamine sugar thereby inactivating them. Characterized MPH's are differentiated based on their substrate specificity."", 'category_aro_class_name': 'AMR Gene Family'}, '35919': {'category_aro_accession': '0000000', 'category_aro_cvterm_id': '35919', 'category_aro_name': 'macrolide antibiotic', 'category_aro_description': 'Macrolides are a group of drugs (typically antibiotics) that have a large macrocyclic lactone ring of 12-16 carbons to which one or more deoxy sugars, usually cladinose and desosamine, may be attached. Macrolides bind to the 50S-subunit of bacterial ribosomes, inhibiting the synthesis of vital proteins.', 'category_aro_class_name': 'Drug Class'}, '36000': {'category_aro_accession': '0001004', 'category_aro_cvterm_id': '36000', 'category_aro_name': 'antibiotic inactivation', 'category_aro_description': 'Enzymatic inactivation of antibiotic to confer drug resistance.', 'category_aro_class_name': 'Resistance Mechanism'}}"
